地区,普通高等学校在校学生数(万人),医院、卫生院数(个),执业(助理)医师数(万人),剧场、影剧院数(个)
北京,60.3557,701,8.52,AV6lfBiafL7jH9GhZ2OQ
天津,51.2854,661,3.59,AV6lfBjhfL7jH9GhZ2OR
石家庄,41.9787,393,2.96,AV6lfBj2fL7jH9GhZ2OS
太原,42.1429,247,2.00,AV6lfBkQfL7jH9GhZ2OT
呼和浩特,23.5188,174,0.89,AV6lfBlBfL7jH9GhZ2OU
沈阳,40.4032,327,2.48,AV6lfBlcfL7jH9GhZ2OV
大连,29.0025,304,1.87,AV6lfBlufL7jH9GhZ2OW
长春,42.6081,301,2.06,AV6lfBmGfL7jH9GhZ2OX
哈尔滨,66.3749,462,2.37,AV6lfBmufL7jH9GhZ2OY
上海,51.1623,644,6.30,AV6lfBnJfL7jH9GhZ2OZ
南京,81.2619,213,2.23,AV6lfBn4fL7jH9GhZ2Oa
杭州,47.5558,333,3.48,AV6lfBoZfL7jH9GhZ2Ob
宁波,15.5767,243,2.19,AV6lfBoofL7jH9GhZ2Oc
合肥,52.7104,470,1.77,AV6lfBpCfL7jH9GhZ2Od
福州,32.0965,232,1.83,AV6lfBpPfL7jH9GhZ2Oe
厦门,14.3992,58,1.00,AV6lfBpsfL7jH9GhZ2Of
南昌,58.7368,195,1.29,AV6lfBqCfL7jH9GhZ2Og
济南,71.3965,269,3.26,AV6lfBq0fL7jH9GhZ2Oh
青岛,32.2260,308,2.63,AV6lfBrOfL7jH9GhZ2Oi
郑州,82.4152,312,2.44,AV6lfBrkfL7jH9GhZ2Oj
武汉,95.6789,372,3.29,AV6lfBr8fL7jH9GhZ2Ok
长沙,56.9400,284,2.56,AV6lfBshfL7jH9GhZ2Ol
广州,104.3221,259,4.25,AV6lfBsyfL7jH9GhZ2Om
深圳,9.0112,125,2.90,AV6lfBtEfL7jH9GhZ2On
南宁,37.5192,225,2.02,AV6lfBtUfL7jH9GhZ2Oo
海口,15.0559,133,0.83,AV6lfBtsfL7jH9GhZ2Op
重庆,71.6580,1568,6.10,AV6lfBt6fL7jH9GhZ2Oq
成都,75.5767,768,5.02,AV6lfBuRfL7jH9GhZ2Or
贵阳,36.8536,260,1.45,AV6lfBu5fL7jH9GhZ2Os
昆明,43.6436,392,2.41,AV6lfBvLfL7jH9GhZ2Ot
拉萨,2.1358,78,0.21,AV6lfBvifL7jH9GhZ2Ou
西安,84.8958,395,2.66,AV6lfBwBfL7jH9GhZ2Ov
兰州,41.6438,164,1.24,AV6lfBwLfL7jH9GhZ2Ow
西宁,6.9894,123,0.78,AV6lfBwhfL7jH9GhZ2Ox
银川,9.7996,92,0.76,AV6lfBw6fL7jH9GhZ2Oy
乌鲁木齐,18.0484,175,1.34,AV6lfBxPfL7jH9GhZ2Oz
